Whse,ItemCode,ItemDescription,DisplayDescription,CommodityCode,CommodityClass,ItemCode,OHQty,AllocQty,AvailQty,WAC,ExtWAC,Loc1,Loc2,Loc3,Manufacturer,MfrPartNumber
01ALC,FC96828TC1I09,PIC FW7500 4-PT OC-48 MUXPONDE,,NETWORK,PIC,|FC96828TC1I09,2,0,2,3139.25,6278.5,1,,,FUJITSU,FC96828TC1
01ALC,3001508907-RF,CARD DEXCS1 OPTICAL MEM,,NETWORK,CARD,|3001508907-RF,4,0,4,2856.718333,11426.87,1,,,ALCATEL-LUCENT NORTH AMERICA,300-1508-907
01ALC,3001508908REVA,CARD DEXCS1 HDD MEM,,NETWORK,PIC,|3001508908REVA,5,0,5,2856.718,14283.59,1,,,TELMAR,300-1508-908
01ALC,8271423MR5REVE,PIC 40G TRSPDR MX PRNCD MFD,,NETWORK,PIC,|8271423MR5REVE,1,0,1,17118.01,17118.01,1,,,TELLABS,82.71423M-R5
01ALC,FB016581A-RF,CARD GTD-5 M386,,NETWORK,CARD,|FB016581A-RF,1,0,1,2595.08,2595.08,1,,,ALCATEL-LUCENT NORTH AMERICA,FB016581A
01ALC,FB0165811A-RF,CARD GTD-5 M386 PROCESSOR,,NETWORK,CARD,|FB0165811A-RF,20,0,20,3896.134,77922.68,1,,,ALCATEL-LUCENT NORTH AMERICA,FB0165811A
01ALC,FB16305AI01-RF,CARD GTD-5 PS LEFT CD,,NETWORK,CARD,|FB16305AI01-RF,6,0,6,2572.125,15432.75,1,,,ALCATEL-LUCENT NORTH AMERICA,FB16305AI01
01ALC,FC9565TGD1,CARD 10G/OTN 88CH 8-1 MXP FW95,,NETWORK,CARD,|FC9565TGD1,9,8,1,10402.87753,93625.9,1,,,FUJITSU,FC9565TGD1
01ALC,0110-0241-1D-RF,CARD ACCESSMAX PON (REV. 1D ON,,NETWORK,PIC,|0110-0241-1D-RF,14,0,14,2497.482143,34964.75,1,,,TELLABS,0110-0241
01ALC,0470-0009-RF,AMPLIFIER EDFA 6 X 22 DBM OUTP,,NETWORK,SHELF,|0470-0009-RF,1,0,1,37500,37500,1,,,TELLABS,0470-0009
01ALC,1442120G1,SFP 1490TX/1310RX 20KM,,NETWORK,OPTIC,|1442120G1,1,0,1,126.43,126.43,1,,,ADTRAN,1442120G1
01ALC,1442706PG3,SFP OC3-48 1G CWDM 1511 80KM,,NETWORK,OPTIC,|1442706PG3,1,0,1,660,660,1,,,ADTRAN,1442706PG3
01ALC,FC9682QMC1I05,PIC 40G MUXPONDER UNIT,,NETWORK,PIC,|FC9682QMC1I05,2,0,2,2412.5,4825,1,,,FUJITSU,FC9682QMC1
01ALC,NTCA06FPS11,PIC OPTERA DX OPT TRCVR NTCA06,,NETWORK,PIC,|NTCA06FPS11,1,0,1,2400,2400,1,,,NORTEL,NTCA06FP
01ALC,011002401C,PIC PON CH UN 622MBPS HDND,,NETWORK,PIC,|011002401C,40,0,40,284.0975,11363.9,1,,,TELLABS,0110-0240-1C
01ALC,0410-0448-RF,SFP GIGE SR MFD,,NETWORK,PIC,|0410-0448-RF,10,0,10,141.575,1415.75,1,,,TELLABS,0410-0448
01ALC,04700091A,PIC MAXLINK VIDEO OPT AMP,,NETWORK,PIC,|04700091A,10,0,10,37500,375000,1,,,TELLABS,0470-0009-1A
01ALC,1179632G1-RF,SHELF TA1248V DSLAM HOST 3RD G,,NETWORK,PIC,|1179632G1-RF,2,0,2,2321.96,4643.92,1,,,ADTRAN,1179632G1
01ALC,3FE24323AA04,PIC PWIO-B GEN FACILITIES,,NETWORK,PIC,|3FE24323AA04,57,0,57,420.866951,23989.42,1,,,ALCATEL-LUCENT NORTH AMERICA,3FE24323AA04
01ALC,8003851404,PIC MODULAR SERVICES CARD MFD,,NETWORK,PIC,|8003851404,1,0,1,65262.77,65262.77,1,,,CISCO,8003851404
01ALC,FB-26720-A-RF,CARD DP1GZ DISK SUBSYS 1GIG/PW,,NETWORK,CARD,|FB-26720-A-RF,1,0,1,6600,6600,1,,,ALCATEL-LUCENT NORTH AMERICA,FB-26720-A
01ALC,FB0163051A-RF,POWER SUPPLY GTD-5 PS5L,,NETWORK,POWER,|FB0163051A-RF,3,0,3,5994,17982,1,,,ALCATEL-LUCENT NORTH AMERICA,FB0163051A
01ALC,FB026751A-RF,POWER SUPPLY AND HARD DISK 300,,NETWORK,POWER,|FB026751A-RF,3,0,3,9540.416667,28621.25,1,,,ALCATEL-LUCENT NORTH AMERICA,FB026751A
01ALC,FB027011A-RF,CARD TGMCP OPERATIONS GATEWAY,,NETWORK,CARD,|FB027011A-RF,5,0,5,3000,15000,1,,,ALCATEL-LUCENT NORTH AMERICA,109816199
01ALC,FB0270131A-RF,CARD GTD-5 CPPS OPERATIONS GAT,,NETWORK,CARD,|FB0270131A-RF,20,0,20,4800,96000,1,,,ALCATEL-LUCENT NORTH AMERICA,109817635
01ALC,FB0270461A-RF,CARD CPU GTD5 CHPH,,NETWORK,CARD,|FB0270461A-RF,3,0,3,17000,51000,1,,,ALCATEL-LUCENT NORTH AMERICA,109786483
01ALC,FB027141A-RF,HARDDRIVE OPERATIONS GATEWAY H,,NETWORK,DISK DRIVE,|FB027141A-RF,2,0,2,10491.685,20983.37,1,,,ALCATEL-LUCENT NORTH AMERICA,FB027141A
01ALC,FC9565W8C1,CARD 88-CH 8D-ROADM (WMP5-W8C1,,NETWORK,CARD,|FC9565W8C1,1,0,1,1300,1300,1,,,FUJITSU,FC9565W8C1
01ALC,FC9570B50D,REFURB SFP GE CWDM 1551NM  MFD,,NETWORK,PIC,|FC9570B50D,10,0,10,824.5,8245,1,,,FUJITSU,FC9570B50D
01ALC,FC95700090,SFP OC-48 IR-1,,NETWORK,OPTIC,|FC95700090,1,0,1,150,150,1,,,FUJITSU,FC95700090
01ALC,FC9580C2C2,CARD OC-12 INTFC FW4500 C/T FC,,NETWORK,CARD,|FC9580C2C2,1,0,1,425,425,1,,,FUJITSU,FC9580C2C2
01ALC,FC9580VF21I02,PIC 20G VT SW FABRIC FW4500,,NETWORK,CARD,|FC9580VF21I02,1,0,1,3130,3130,1,,,FUJITSU,FC9580VF21I02
01ALC,FC9682LAM5,PIC FW LAMBDA ACCESS UNIT,,NETWORK,CARD,|FC9682LAM5,22,0,22,162.727272,3580,1,,,FUJITSU,FC9682LAM5I04
01ALC,FC9682RDC1,ROADM WSS SWITCH FABRIC FW7500,,NETWORK,PIC,|FC9682RDC1,1,0,1,3750,3750,1,,,FUJITSU,FC9682RDC1
01ALC,FC9682SHP3I07,REFURB CARD NEM I04-I07 FW7500,,NETWORK,PIC,|FC9682SHP3I07,2,0,2,339.595,679.19,1,,,FUJITSU,FC9682SHP3
01ALC,FC9682SMC1-RF,CARD 10G 8XOC-N/GE TO OTN MUXP,,NETWORK,CARD,|FC9682SMC1-RF,7,0,7,6076.964286,42538.75,1,,,FUJITSU,FC9682SMC1
01ALC,FC9682U5C2,PIC TRANSPONDER 10G UNIVERSAL,,NETWORK,PIC,|FC9682U5C2,2,0,2,6700,13400,1,,,FUJITSU,FC9682U5C2
