"Co","Whse","ItemCode","ItemDescription","DisplayDescription","CommodityCode","CommodityClass","ItemCode","OHQty","AllocQty","AvailQty","WAC","ExtWAC","Loc1","Loc2","Loc3","Manufacturer","MfrPartNumber"
"  001","01ALC","NTCA06FPS11","PIC OPTERA DX OPT TRCVR NTCA06","","NETWORK","PIC","|NTCA06FPS11",1.0000,.0000,1.0000,2400.000000,2400.00,"1","","","NORTEL","NTCA06FP"
"  001","01ALC","0410-0448-RF","SFP GIGE SR MFD","","NETWORK","PIC","|0410-0448-RF",10.0000,.0000,10.0000,141.575000,1415.75,"1","","","TELLABS","0410-0448"
"  001","01ALC","1179632G1-RF","SHELF TA1248V DSLAM HOST 3RD G","","NETWORK","PIC","|1179632G1-RF",2.0000,.0000,2.0000,2321.960000,4643.92,"1","","","ADTRAN","1179632G1"
"  001","01ALC","FC9580SF31I10","PIC 300G STS SW MATRIX UN MFD","","NETWORK","PIC","|FC9580SF31I10",7.0000,.0000,7.0000,14000.000000,98000.00,"1","","","FUJITSU","FC9580SF31I10"
"  001","01ALC","WS-C2950G-24-EI-DC","PIC SWITCH 24 10/100=2GBIC SLO","","NETWORK","PIC","|WS-C2950G-24-EI-DC",10.0000,.0000,10.0000,75.000000,750.00,"01ALC","","","CISCO","WS-C2950G-24-EI-DC"
"  001","01ALC","3001508907-RF","CARD DEXCS1 OPTICAL MEM","","NETWORK","CARD","|3001508907-RF",5.0000,.0000,5.0000,2856.718333,14283.59,"1","","","ALCATEL-LUCENT NORTH AMERICA","300-1508-907"
"  001","01ALC","3001508908REVA","CARD DEXCS1 HDD MEM","","NETWORK","PIC","|3001508908REVA",5.0000,.0000,5.0000,2856.718000,14283.59,"1","","","TELMAR","300-1508-908"
"  001","01ALC","81.71M-OSM20-R6","MODULE/SWITCHING PRNCD","PRS REQUEST:  207578","NETWORK","CARD","|81.71M-OSM20-R6",2.0000,.0000,2.0000,6208.820000,12417.64,"1","","","CORIANT NORTH AMERICA INC","81.71M-OSM20-R6"
"  001","01ALC","8271423MR5REVE","PIC 40G TRSPDR MX PRNCD MFD","","NETWORK","PIC","|8271423MR5REVE",1.0000,.0000,1.0000,17118.010000,17118.01,"1","","","TELLABS","82.71423M-R5"
"  001","01ALC","FB016581A-RF","CARD GTD-5 M386","","NETWORK","CARD","|FB016581A-RF",1.0000,.0000,1.0000,2595.080000,2595.08,"1","","","ALCATEL-LUCENT NORTH AMERICA","FB016581A"
"  001","01ALC","FB0165811A-RF","CARD GTD-5 M386 PROCESSOR","","NETWORK","CARD","|FB0165811A-RF",20.0000,.0000,20.0000,3896.134000,77922.68,"1","","","ALCATEL-LUCENT NORTH AMERICA","FB0165811A"
"  001","01ALC","FB16305AI01-RF","CARD GTD-5 PS LEFT CD","","NETWORK","CARD","|FB16305AI01-RF",6.0000,.0000,6.0000,2572.125000,15432.75,"1","","","ALCATEL-LUCENT NORTH AMERICA","FB16305AI01"
"  001","01ALC","FC9565TGD1","CARD 10G/OTN 88CH 8-1 MXP FW95","","NETWORK","CARD","|FC9565TGD1",9.0000,.0000,9.0000,10402.877526,93625.90,"1","","","FUJITSU","FC9565TGD1"
"  001","01ALC","0110-0241-1D-RF","CARD ACCESSMAX PON (REV. 1D ON","","NETWORK","PIC","|0110-0241-1D-RF",14.0000,.0000,14.0000,2497.482143,34964.75,"1","","","TELLABS","0110-0241"
"  001","01ALC","0470-0009-RF","AMPLIFIER EDFA 6 X 22 DBM OUTP","","NETWORK","SHELF","|0470-0009-RF",1.0000,.0000,1.0000,37500.000000,37500.00,"1","","","TELLABS","0470-0009"
"  001","01ALC","1442120G1","SFP 1490TX/1310RX 20KM","","NETWORK","OPTIC","|1442120G1",1.0000,.0000,1.0000,126.430000,126.43,"           1","","","ADTRAN","1442120G1"
"  001","01ALC","1442706PG3","SFP OC3-48 1G CWDM 1511 80KM","","NETWORK","OPTIC","|1442706PG3",1.0000,.0000,1.0000,660.000000,660.00,"           1","","","ADTRAN","1442706PG3"
"  001","01ALC","FB-26720-A-RF","CARD DP1GZ DISK SUBSYS 1GIG/PW","","NETWORK","CARD","|FB-26720-A-RF",1.0000,.0000,1.0000,6600.000000,6600.00,"1","","","ALCATEL-LUCENT NORTH AMERICA","FB-26720-A"
"  001","01ALC","FB0163051A-RF","POWER SUPPLY GTD-5 PS5L","","NETWORK","POWER","|FB0163051A-RF",3.0000,.0000,3.0000,5994.000000,17982.00,"1","","","ALCATEL-LUCENT NORTH AMERICA","FB0163051A"
"  001","01ALC","FB026751A-RF","POWER SUPPLY AND HARD DISK 300","","NETWORK","POWER","|FB026751A-RF",3.0000,.0000,3.0000,9540.416667,28621.25,"1","","","ALCATEL-LUCENT NORTH AMERICA","FB026751A"
"  001","01ALC","FB027011A-RF","CARD TGMCP OPERATIONS GATEWAY","","NETWORK","CARD","|FB027011A-RF",5.0000,.0000,5.0000,3000.000000,15000.00,"1","","","ALCATEL-LUCENT NORTH AMERICA","109816199"
"  001","01ALC","FB0270131A-RF","CARD GTD-5 CPPS OPERATIONS GAT","","NETWORK","CARD","|FB0270131A-RF",20.0000,.0000,20.0000,4800.000000,96000.00,"1","","","ALCATEL-LUCENT NORTH AMERICA","109817635"
"  001","01ALC","FB0270461A-RF","CARD CPU GTD5 CHPH","","NETWORK","CARD","|FB0270461A-RF",3.0000,.0000,3.0000,17000.000000,51000.00,"1","","","ALCATEL-LUCENT NORTH AMERICA","109786483"
"  001","01ALC","FB027141A-RF","HARDDRIVE OPERATIONS GATEWAY H","","NETWORK","DISK DRIVE","|FB027141A-RF",2.0000,.0000,2.0000,10491.685000,20983.37,"1","","","ALCATEL-LUCENT NORTH AMERICA","FB027141A"
"  001","01ALC","FC9565W8C1","CARD 88-CH 8D-ROADM (WMP5-W8C1","","NETWORK","CARD","|FC9565W8C1",1.0000,.0000,1.0000,1300.000000,1300.00,"1","","","FUJITSU","FC9565W8C1"
"  001","01ALC","FC9570B50D","REFURB SFP GE CWDM 1551NM  MFD","","NETWORK","PIC","|FC9570B50D",10.0000,.0000,10.0000,824.500000,8245.00,"1","","","FUJITSU","FC9570B50D"
"  001","01ALC","FC95700090","SFP OC-48 IR-1","","NETWORK","OPTIC","|FC95700090",1.0000,.0000,1.0000,150.000000,150.00,"1","","","FUJITSU","FC95700090"
"  001","01ALC","FC9580C2C2","CARD OC-12 INTFC FW4500 C/T FC","","NETWORK","CARD","|FC9580C2C2",1.0000,.0000,1.0000,425.000000,425.00,"1","","","FUJITSU","FC9580C2C2"
"  001","01ALC","FC9580VF21I02","PIC 20G VT SW FABRIC FW4500","","NETWORK","CARD","|FC9580VF21I02",1.0000,.0000,1.0000,3130.000000,3130.00,"1","","","FUJITSU","FC9580VF21I02"
"  001","01ALC","FC9682LAM5","PIC FW LAMBDA ACCESS UNIT","","NETWORK","CARD","|FC9682LAM5",22.0000,.0000,22.0000,162.727272,3580.00,"1","","","FUJITSU","FC9682LAM5I04"
"  001","01ALC","FC9682QMC1I05","PIC 40G MUXPONDER UNIT","","NETWORK","PIC","|FC9682QMC1I05",2.0000,.0000,2.0000,2412.500000,4825.00,"1","","","FUJITSU","FC9682QMC1"
"  001","01ALC","FC9682RDC1","ROADM WSS SWITCH FABRIC FW7500","","NETWORK","PIC","|FC9682RDC1",1.0000,.0000,1.0000,3750.000000,3750.00,"1","","","FUJITSU","FC9682RDC1"
"  001","01ALC","FC9682SHP3I07","REFURB CARD NEM I04-I07 FW7500","","NETWORK","PIC","|FC9682SHP3I07",2.0000,.0000,2.0000,339.595000,679.19,"1","","","FUJITSU","FC9682SHP3"
"  001","01ALC","FC9682SMC1-RF","CARD 10G 8XOC-N/GE TO OTN MUXP","","NETWORK","CARD","|FC9682SMC1-RF",7.0000,.0000,7.0000,6076.964286,42538.75,"1","","","FUJITSU","FC9682SMC1"
"  001","01ALC","FC9682U5C2","PIC TRANSPONDER 10G UNIVERSAL","","NETWORK","PIC","|FC9682U5C2",2.0000,.0000,2.0000,6700.000000,13400.00,"1","","","FUJITSU","FC9682U5C2"
"  001","01ALC","FC96828TC1","C/T FC9682SMC1-RF CARD 4-CG OC","","NETWORK","CARD","|FC96828TC1",2.0000,.0000,2.0000,3139.250000,6278.50,"1","","","FUJITSU","FC96828TC1"
"  001","01ALC","NTCA06FP-RF","TRANSCEIVER OPTERA DX OPT","","NETWORK","TRANSCEIVER","|NTCA06FP-RF",2.0000,.0000,2.0000,2400.000000,4800.00,"1","","","NORTEL","NTCA06FP"
"  001","01ALC","NTLX44AA-RF","CARD MG-4000 MEDIA GATEWAY 400","","NETWORK","CARD","|NTLX44AA-RF",1.0000,.0000,1.0000,18750.000000,18750.00,"1","","","NORTEL","NTLX44AA"
"  001","01ALC","NT1X55FA-RF","CARD SCSI DDU MFD","","NETWORK","PIC","|NT1X55FA-RF",1.0000,.0000,1.0000,4700.000000,4700.00,"1","","","NORTEL","NT1X55FA"
"  001","01ALC","NT7E27DA-S06-RF","CARD FDN600 ESI","","NETWORK","PIC","|NT7E27DA-S06-RF",1.0000,.0000,1.0000,150.000000,150.00,"1","","","NORTEL","NT7E27DA"
"  001","01ALC","NT7E33CA-RF","CARD INTERFACE OC12 STS","","NETWORK","CARD","|NT7E33CA-RF",2.0000,.0000,2.0000,102.835000,205.67,"1","","","NORTEL","NT7E33CA"
"  001","01ALC","NT8E01PDS01-RF","PIC OCI48 RING TRMT FDN2400 MF","","NETWORK","PIC","|NT8E01PDS01-RF",3.0000,.0000,3.0000,2366.403333,7099.21,"1","","","NORTEL","NT8E01PD"
"  001","01ALC","NT8E01PX-RF","CARD OC-48 TRANSMITTER FDN2400","","NETWORK","PIC","|NT8E01PX-RF",1.0000,.0000,1.0000,2250.000000,2250.00,"1","","","NORTEL","NT8E01PX"
"  001","01ALC","UN376E-RF","CARD DIGITAL AUDIO TAPE DRIVE","","NETWORK","CARD","|UN376E-RF",1.0000,.0000,1.0000,2600.000000,2600.00,"1","","","ALCATEL-LUCENT NORTH AMERICA","UN376E"
"  001","01ALC","011002401C","PIC PON CH UN 622MBPS HDND","","NETWORK","PIC","|011002401C",40.0000,.0000,40.0000,284.097500,11363.90,"1","","","TELLABS","0110-0240-1C"
"  001","01ALC","0120-0162-RF","CARD GBE222 UPLINK/TRANSPORT U","","NETWORK","PIC","|0120-0162-RF",20.0000,.0000,20.0000,3510.134514,70202.69,"1","","","TELLABS","0120-0162"
"  001","01ALC","04700091A","PIC MAXLINK VIDEO OPT AMP","","NETWORK","PIC","|04700091A",10.0000,.0000,10.0000,37500.000000,375000.00,"1","","","TELLABS","0470-0009-1A"
"  001","01ALC","090-42110-01-RF","CARD DCD GPS TMG RCVR MFD","","NETWORK","PIC","|090-42110-01-RF",1.0000,.0000,1.0000,5630.000000,5630.00,"WHSE","","","SYMMETRICOM","090-42110-01"
"  001","01ALC","090-45100-11-RF","SHELF DCD-LPR","","NETWORK","SHELF","|090-45100-11-RF",5.0000,.0000,5.0000,75.000000,375.00,"1","","","SYMMETRICOM","090-45100-11"
"  001","01ALC","11030128REV02","PIC CBX 500 8 PORT DS3 PROCR C","","NETWORK","CARD","|11030128REV02",3.0000,.0000,3.0000,8175.000000,24525.00,"1","","","ADTRAN","11030128REV02"
"  001","01ALC","1187040F1","MODULE SWITCH TA5000 SM40 4-10","","NETWORK","MODULE","|1187040F1",47.0000,.0000,47.0000,3600.000000,169200.00,"1","","","ADTRAN","1187040F1"
"  001","01ALC","170-0101-902","CARD PWR SUPPLY PLUGGABLE DC51","","NETWORK","CARD","|170-0101-902",4.0000,.0000,4.0000,1660.322500,6641.29,"1","","","CIENA","170-0101-902"
"  001","01ALC","170-5100-900","CARD 10G 2PORT XFP EXT FEATURE","","NETWORK","CARD","|170-5100-900",10.0000,.0000,10.0000,1052.380952,10523.81,"1","","","CIENA","170-5100-900"
"  001","01ALC","170-5150-900","SWITCH 5150 48-100/1000M 2-10G","","NETWORK","SWCH","|170-5150-900",5.0000,.0000,5.0000,3680.500000,18402.50,"1","","","CIENA","170-5150-900"
"  001","01ALC","23478486-000-0","TSG T1/E1 FRM GEN W/BP MFD C/T","","NETWORK","PIC","|23478486-000-0",2.0000,.0000,2.0000,555.000000,1110.00,"1","","","SYMMETRICOM","23478486-000-0"
"  001","01ALC","3FE24323AA","CARD PWIO-B FOR ALU-7330 GENER","","NETWORK","CARD","|3FE24323AA",2.0000,.0000,2.0000,420.866951,841.73,"1","","","ALCATEL-LUCENT NORTH AMERICA","3FE24323AA"
"  001","01ALC","3FE24323AA04","PIC PWIO-B GEN FACILITIES","","NETWORK","PIC","|3FE24323AA04",57.0000,.0000,57.0000,420.866951,23989.42,"1","","","ALCATEL-LUCENT NORTH AMERICA","3FE24323AA04"
"  001","01ALC","3FE68954AB","CARD FGLT-B 16PGPON LT","","NETWORK","CARD","|3FE68954AB",1.0000,.0000,1.0000,1500.000000,1500.00,"1","","","ALCATEL-LUCENT NORTH AMERICA","3FE68954AB"
"  001","01ALC","3FE72955AA","CARD FWLT-B 8 PORT NG-PON2","","NETWORK","CARD","|3FE72955AA",19.0000,.0000,19.0000,3195.573501,60715.90,"1","","","ALCATEL-LUCENT NORTH AMERICA","3FE72955AA"
"  001","01ALC","8003851404","PIC MODULAR SERVICES CARD MFD","","NETWORK","PIC","|8003851404",1.0000,.0000,1.0000,65262.770000,65262.77,"1","","","CISCO","8003851404"
"  001","01ALC","82.71T-CDWDMS-R6","CFP DWDM TUNABLE 88CH STRAIGHT","","NETWORK","OPTIC","|82.71T-CDWDMS-R6",15.0000,1.0000,14.0000,8790.322580,131854.84,"1","","","INFINERA","82.71T-CDWDMS-R6"
"  001","01ALC","9080396REV01","REFURB CARD SE800 OC3C STM1 AT","","NETWORK","PIC","|9080396REV01",1.0000,.0000,1.0000,431.920000,431.92,"1","","","ERICSSON","908-0396"
"  001","01ALC","546595-001-00","ONT MOTO GPON 1000GJI (FTR CLE","","OSP","ONT","|546595-001-00",2.0000,.0000,2.0000,1200.000000,2400.00,"1","","","MOTOROLA","546595-001-00"
"  001","01ALN","FTRASSY4100ES","KIT START UP FOR 4100 ES BASEK","","NETWORK","KIT","|FTRASSY4100ES",2.0000,.0000,2.0000,89.500000,179.00,"WHSE","","","FUJITSU","FTRASSY4100ES"
"  001","01ALN","001-0002-01","KIT Z33 GSP2 I-TEMP CHASSIS 2C","","NETWORK","KIT","|001-0002-01",3.0000,.0000,3.0000,768.510000,2305.53,"1","","","CIENA","001-0002-01"
"  001","01ALN","002-0014-00","KIT AWG-96 WITH HORIZONTAL FIB","","NETWORK","KIT","|002-0014-00",6.0000,.0000,6.0000,3572.250000,21433.50,"1","","","CIENA","002-0014-00"
"  001","01ALN","002-0451-01","KIT SFP+ TUNABLE ITU C-BAND&JU","","NETWORK","OPTIC","|002-0451-01",1.0000,.0000,1.0000,1946.541111,1946.54,"1","","","CIENA","002-0451-01"
"  001","01ALN","004-0140-01","KIT WSS-F8 AND FIBER JUMPER Z","","NETWORK","KIT","|004-0140-01",3.0000,.0000,3.0000,8616.656667,25849.97,"1","","","CIENA","004-0140-01"
"  001","01ALN","280-0009-00","SFP 155M - 2.67G 5KM Z SERIES","","NETWORK","OPTIC","|280-0009-00",11.0000,.0000,11.0000,69.378182,763.16,"1","","","CIENA","280-0009-00"
"  001","01ALN","280-0010-00","SFP 155M- 2.67G 20KM Z SERIESM","","NETWORK","OPTIC","|280-0010-00",27.0000,.0000,27.0000,138.170370,3730.60,"1","","","CIENA","280-0010-00"
"  001","01ALN","280-0011-00","SFP 155M -2.67G 40KM Z SERIES","","NETWORK","OPTIC","|280-0011-00",12.0000,.0000,12.0000,404.465833,4853.59,"1","","","CIENA","280-0011-00"
"  001","01ALN","280-0030-00","SFP 1000BASE-LX I-TEMP Z SERIE","","NETWORK","PIC","|280-0030-00",50.0000,.0000,50.0000,60.230351,3011.52,"1","","","CIENA","280-0030-00"
"  001","01ALN","280-0069-00","SFP CWDM 1510NM 80KM Z SERIES","","NETWORK","OPTIC","|280-0069-00",2.0000,.0000,2.0000,470.400000,940.80,"1","","","CIENA","280-0069-00"
"  001","01ALN","280-0071-00","SFP CWDM 1550NM 80KM Z SERIES","","NETWORK","OPTIC","|280-0071-00",4.0000,.0000,4.0000,470.400000,1881.60,"1","","","CIENA","280-0071-00"
"  001","01ALN","280-0073-00","SFP CWDM 1590NM 80KM Z SERIES","","NETWORK","OPTIC","|280-0073-00",1.0000,.0000,1.0000,470.400000,470.40,"1","","","CIENA","280-0073-00"
"  001","01ALN","280-0074-00","SFP CWDM 1610NM 80KM Z SERIES","","NETWORK","OPTIC","|280-0074-00",1.0000,.0000,1.0000,470.400000,470.40,"1","","","CIENA","280-0074-00"
"  001","01ALN","280-0183-00","C/T INT-280-0183-00 SFP 1000BA","","NETWORK","OPTIC","|280-0183-00",1.0000,.0000,1.0000,370.020000,370.02,"1","","","CIENA","280-0183-00"
"  001","01ALN","280-0692-00","SFP+ 9.95-11.3G 1310NM 10KM Z","","NETWORK","OPTIC","|280-0692-00",3.0000,.0000,3.0000,207.666667,623.00,"1","","","CIENA","280-0692-00"
"  001","01ALN","800-0091-01","MODULE MULTI-RATE OTN MUXPONDE","","NETWORK","MODULE","|800-0091-01",1.0000,.0000,1.0000,6495.000000,6495.00,"1","","","CIENA","800-0091-01"
"  001","01ALN","800-0123-02","CARD PSW-618+ Z SERIES MFD","","NETWORK","CARD","|800-0123-02",5.0000,.0000,5.0000,8882.865000,44414.33,"1","","","CIENA","800-0123-02"
"  001","01ALN","800-0138-02","CARD LME-10G10D MUXPONDER Z SE","","NETWORK","CARD","|800-0138-02",1.0000,.0000,1.0000,6895.530000,6895.53,"1","","","CIENA","800-0138-02"
"  001","01ALN","910-0006-01","SHELF LGX Z SERIES MFD","","NETWORK","SHELF","|910-0006-01",3.0000,.0000,3.0000,1.083333,3.25,"1","","","CIENA","910-0006-01"
"  001","01ALN","910-0025-01","MODULE OPTICAL FIBER SWITCH OF","","NETWORK","MODULE","|910-0025-01",2.0000,.0000,2.0000,312.075000,624.15,"1","","","CIENA","910-0025-01"
